State ID, Unemployment Rate(%)
"01001", 5.1
"01003", 4.9
"01005", 8.6
"01007", 6.2
"01009", 5.1
"01011", 7.1
"01013", 6.7
"01015", 6.1
"01017", 5
"01019", 5
"01021", 5.2
"01023", 7.9
"01025", 11.1
"01027", 5.9
"01029", 5.5
"01031", 5.6
"01033", 6.5
"01035", 7.7
"01037", 5.7
"01039", 6.7
"01041", 5.7
"01043", 4.8
"01045", 5.6
"01047", 9.5
"01049", 5.7
"01051", 4.7
"01053", 6.3
"01055", 5.7
"01057", 6.6
"01059", 5.5
"01061", 5.4
"01063", 9.3
"01065", 7.6
"01067", 6.3
"01069", 5.6
"01071", 5.9
"01073", 5.5
"01075", 5.2
"01077", 6
"01079", 6.4
"01081", 4.9
"01083", 5
"01085", 10.3
"01087", 7.2
"01089", 4.9
"01091", 6.9
"01093", 6.1
"01095", 5.1
"01097", 6.5
"01099", 8.6
"01101", 5.6
"01103", 5.2
"01105", 10.9
"01107", 6.7
"01109", 6.4
"01111", 5.7
"01113", 5.3
"01115", 5
"01117", 4.2
"01119", 7.3
"01121", 6.4
"01123", 5.1
"01125", 5.5
"01127", 7.2
"01129", 8.3
"01131", 13.9